parmseq,zOutcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,selected_final,mlog10p
1, zgdf15 ,583,zLE8_TOTALSCOREinv,,0.21,0.00528324,28672,40.22332,0.00E+00,0.2,0.22,0.05,0.00003418,1,0.00E+00,1,1,360
1, zangptl2 ,63,zLE8_TOTALSCOREinv,,0.22,0.00587442,28371,38.152969,0.00E+00,0.21,0.24,0.05,0.00003418,1,0.00E+00,1,1,356
1, zagrn ,36,zLE8_TOTALSCOREinv,,0.24,0.0057684,28445,41.279447,0.00E+00,0.23,0.25,0.05,0.00003418,1,0.00E+00,1,1,358
1, zhavcr1 ,637,zLE8_TOTALSCOREinv,,0.26,0.00560628,28507,45.732338,0.00E+00,0.25,0.27,0.05,0.00003418,1,0.00E+00,1,1,382
1, zpamr1 ,1021,zLE8_TOTALSCOREinv,,0.29,0.00577454,28335,50.655532,0.00E+00,0.28,0.3,0.05,0.00003418,1,0.00E+00,1,1,390
1, zclmp ,312,zLE8_TOTALSCOREinv,,0.23,0.00551614,28543,41.705732,0.00E+00,0.22,0.24,0.05,0.00003418,1,0.00E+00,1,1,360
1, zfurin ,566,zLE8_TOTALSCOREinv,,0.36,0.00561336,28386,63.551639,0.00E+00,0.35,0.37,0.05,0.00003418,1,0.00E+00,1,1,462
1, zsfrp1 ,1226,zLE8_TOTALSCOREinv,,0.22,0.00579715,28020,38.384817,0.00E+00,0.21,0.23,0.05,0.00003418,1,0.00E+00,1,1,356
1, zil18r1 ,716,zLE8_TOTALSCOREinv,,0.28,0.00574138,28635,49.233218,0.00E+00,0.27,0.29,0.05,0.00003418,1,0.00E+00,1,1,388
1, zcxcl17 ,396,zLE8_TOTALSCOREinv,,0.21,0.00560577,28635,38.206731,0.00E+00,0.2,0.23,0.05,0.00003418,1,0.00E+00,1,1,356
1, zcrhbp ,355,zLE8_TOTALSCOREinv,,0.23,0.00581898,28325,38.822483,0.00E+00,0.21,0.24,0.05,0.00003418,1,0.00E+00,1,1,358
1, zplat ,1062,zLE8_TOTALSCOREinv,,0.34,0.00546488,28593,61.675876,0.00E+00,0.33,0.35,0.05,0.00003418,1,0.00E+00,1,1,460
1, zrarres2 ,1147,zLE8_TOTALSCOREinv,,0.35,0.00558084,28482,62.071057,0.00E+00,0.34,0.36,0.05,0.00003418,1,0.00E+00,1,1,462
1, zigfbp2 ,686,zLE8_TOTALSCOREinv,,-0.3,0.00560703,28634,-54.053091,0.00E+00,-0.31,-0.29,0.05,0.00003418,1,0.00E+00,1,1,400
1, zlgals1 ,825,zLE8_TOTALSCOREinv,,0.25,0.00579994,28318,43.239046,0.00E+00,0.24,0.26,0.05,0.00003418,1,0.00E+00,1,1,372
1, zggt1 ,594,zLE8_TOTALSCOREinv,,0.28,0.00555255,28287,49.852121,0.00E+00,0.27,0.29,0.05,0.00003418,1,0.00E+00,1,1,389
1, zil1rn ,726,zLE8_TOTALSCOREinv,,0.33,0.00565135,28284,59.136561,0.00E+00,0.32,0.35,0.05,0.00003418,1,0.00E+00,1,1,458
1, zccl22 ,183,zLE8_TOTALSCOREinv,,0.26,0.00578036,28083,44.918783,0.00E+00,0.25,0.27,0.05,0.00003418,1,0.00E+00,1,1,378
1, zigsf3 ,692,zLE8_TOTALSCOREinv,,0.27,0.00581686,28196,46.78823,0.00E+00,0.26,0.28,0.05,0.00003418,1,0.00E+00,1,1,382
1, znomo1 ,971,zLE8_TOTALSCOREinv,,0.28,0.00579031,28335,47.515789,0.00E+00,0.26,0.29,0.05,0.00003418,1,0.00E+00,1,1,390
1, zcol6a3 ,333,zLE8_TOTALSCOREinv,,0.25,0.00566428,28672,43.326086,0.00E+00,0.23,0.26,0.05,0.00003418,1,0.00E+00,1,1,372
1, zfgfr2 ,540,zLE8_TOTALSCOREinv,,0.23,0.0057224,28386,40.682811,0.00E+00,0.22,0.24,0.05,0.00003418,1,0.00E+00,1,1,365
1, zpon3 ,1081,zLE8_TOTALSCOREinv,,-0.25,0.00564309,28445,-44.814152,0.00E+00,-0.26,-0.24,0.05,0.00003418,1,0.00E+00,1,1,380
1, zfabp4 ,508,zLE8_TOTALSCOREinv,,0.37,0.00510723,28672,71.97885,0.00E+00,0.36,0.38,0.05,0.00003418,1,0.00E+00,1,1,480
1, zhnmt ,653,zLE8_TOTALSCOREinv,,0.24,0.0058267,27967,41.65416,0.00E+00,0.23,0.25,0.05,0.00003418,1,0.00E+00,1,1,360
1, zprcp ,1092,zLE8_TOTALSCOREinv,,0.29,0.00570832,28503,50.656846,0.00E+00,0.28,0.3,0.05,0.00003418,1,0.00E+00,1,1,390
1, zsmad5 ,1260,zLE8_TOTALSCOREinv,,0.25,0.0058412,28196,42.305142,0.00E+00,0.24,0.26,0.05,0.00003418,1,0.00E+00,1,1,365
1, ztfpi ,1336,zLE8_TOTALSCOREinv,,0.25,0.00589289,28272,42.061155,0.00E+00,0.24,0.26,0.05,0.00003418,1,0.00E+00,1,1,366
1, zerbb2 ,492,zLE8_TOTALSCOREinv,,0.28,0.00572928,28386,48.390158,0.00E+00,0.27,0.29,0.05,0.00003418,1,0.00E+00,1,1,390
1, zigfbp1 ,685,zLE8_TOTALSCOREinv,,-0.23,0.00574652,28632,-39.310336,0.00E+00,-0.24,-0.21,0.05,0.00003418,1,0.00E+00,1,1,358
1, zsema3f ,1207,zLE8_TOTALSCOREinv,,0.23,0.00584102,28318,40.0541,0.00E+00,0.22,0.25,0.05,0.00003418,1,0.00E+00,1,1,365
1, zlilra5 ,837,zLE8_TOTALSCOREinv,,0.24,0.00582568,28274,40.801518,0.00E+00,0.23,0.25,0.05,0.00003418,1,0.00E+00,1,1,366
1, zil6 ,742,zLE8_TOTALSCOREinv,,0.24,0.00580201,28196,40.699168,0.00E+00,0.22,0.25,0.05,0.00003418,1,0.00E+00,1,1,395
1, zadh4 ,30,zLE8_TOTALSCOREinv,,0.3,0.00569395,27812,52.949839,0.00E+00,0.29,0.31,0.05,0.00003418,1,0.00E+00,1,1,402
1, zf9 ,505,zLE8_TOTALSCOREinv,,0.32,0.00568964,28404,56.931106,0.00E+00,0.31,0.34,0.05,0.00003418,1,0.00E+00,1,1,457
1, zpts ,1132,zLE8_TOTALSCOREinv,,0.25,0.00594735,27534,41.822045,0.00E+00,0.24,0.26,0.05,0.00003418,1,0.00E+00,1,1,364
